Trade,OfferAmount,OfferItem,DesiredAmount,DesiredItem 
I'm willing to trade 3 wheat for 45 gold. Would you be interested in making a deal?,3,wheat,45,gold
I have 27 wood that I can trade for 27 iron. Are you interested in making a deal?,27,wood,27,iron
I'm looking to diversify my assets and would like to trade 49 iron for 12 coal. What do you think?,49,iron,12,coal
I'd like to offer 37 coal for 28 gold. Would you be interested in making a trade?,37,coal,28,gold
How about we make a trade? I'm willing to offer 12 iron in exchange for 1 coal.,12,iron,1,coal
I'm interested in acquiring 20 horses and am willing to trade 23 gold in exchange. Would you be open to that?,23,gold,20,horses
"If you're interested in trading, I have 16 stones that I'm willing to offer for 39 gold.",16,stones,39,gold
I have 38 stones that I'm looking to trade for 5 horses. Would you be open to that exchange?,38,stones,5,horses
I have 23 wheat that I'm willing to trade for 16 wood. Would you be interested?,23,wheat,16,wood
I'm willing to trade 13 aluminum for 50 stones. Is that something you'd be interested in?,13,aluminum,50,stones
I'd like to make a trade. I have 38 gold that I'm willing to offer for 19 aluminum.,38,gold,19,aluminum
I have 48 wood that I'm willing to trade for 47 aluminum. Would you be interested?,48,wood,47,aluminum
I'm willing to trade 32 wheat for 21 stones. Let me know if you're interested.,32,wheat,21,stones
I'm willing to trade 1 coal for 4 aluminum. Is that something you'd be interested in?,1,coal,4,aluminum
I have 2 gold and am looking to exchange them for 3 iron. Would you be open to a trade?,2,gold,3,iron
I'd like to acquire 5 gold and can offer 27 horses in exchange. Let me know if you're interested in a trade.,27,horses,5,gold
I have 49 wood that I'm interested in trading for 12 coal. Would you consider the offer?,49,wood,12,coal
I'd like to trade 12 stones for 30 iron. Let me know if you're interested.,12,stones,30,iron
I have 15 coal and am interested in trading them for 10 horses. What do you think?,15,coal,10,horses
I'm interested in acquiring 45 wood and am willing to trade 46 horses in exchange. Would you be open to that?,46,horses,45,wood
I have 4 stones that I'm willing to offer in exchange for 19 coal. Let me know if you're interested in a trade.,4,stones,19,coal
How about a trade? I'll give you 6 wheat in exchange for 2 horses.,6,wheat,2,horses
I'd like to trade 16 gold for 23 coal. Let me know if you're interested.,16,gold,23,coal
I'm willing to trade 10 stones for 4 wood. Let me know if you're interested.,10,stones,4,wood
I'd like to acquire 16 coal and can offer 34 wheat in exchange. Would you be interested in trading?,34,wheat,16,coal
I'm interested in acquiring 30 stones and am willing to offer 9 wood in exchange. Are you open to a trade?,9,wood,30,stones
I'm interested in acquiring 32 horses and am willing to offer 8 wood in exchange. Let me know if you're interested in a trade.,8,wood,32,horses
I'm looking to diversify my assets and would like to trade 2 aluminum for 23 wood. Would you consider it?,2,aluminum,23,wood
I have 45 horses that I'm willing to offer in exchange for 47 iron. Let me know if you're interested in a trade.,45,horses,47,iron
I'm looking to acquire 35 wood and am willing to offer 41 wheat in exchange. Let me know if you're interested in a trade.,41,wheat,35,wood
I'm willing to offer 42 stones for 37 iron. Are you open to a trade?,42,stones,37,iron
I'd like to offer 20 iron for 36 coal. Would you be interested in making a trade?,20,iron,36,coal
I have 9 iron that I'm willing to trade for 18 horses. Would you be interested?,9,iron,18,horses
I'm willing to exchange 8 gold for 19 stones. Let me know if you're interested.,8,gold,19,stones
I'm interested in acquiring 4 iron and am willing to offer 18 gold in exchange. Are you open to a trade?,18,gold,4,iron
I'm looking to trade 2 stones for 48 aluminum. Would you consider the offer?,2,stones,48,aluminum
I'm interested in trading 35 wheat for 26 aluminum. Would you be open to a trade?,35,wheat,26,aluminum
I'm interested in acquiring 33 gold and am willing to offer 38 stones in exchange. Let me know if you're interested in a trade.,38,stones,33,gold
How about a trade? I have 29 gold that I can offer in exchange for 22 iron.,29,gold,22,iron
How about we make a deal? I have 19 aluminum that I can trade for 46 wheat.,19,aluminum,46,wheat
I'm interested in trading 27 stones for 12 wheat. Let me know if you'd like to make a deal.,27,stones,12,wheat
I'd like to offer 5 stones for 7 coal. Are you open to a trade?,5,stones,7,coal
I'm interested in acquiring 23 wood and am willing to trade 40 aluminum in exchange. Would you be open to that?,40,aluminum,23,wood
I'm interested in acquiring 25 wheat and am willing to trade 21 iron in exchange. Would you consider the offer?,21,iron,25,wheat
I'm interested in making a trade. I have 13 gold that I can offer for 25 wheat. Would you consider it?,13,gold,25,wheat
I'm interested in trading 48 aluminum for 48 wood. What do you think?,48,aluminum,48,wood
I'm interested in acquiring 39 horses and am willing to offer 4 gold in exchange. Are you open to a trade?,4,gold,39,horses
I have 18 aluminum that I'm looking to exchange for 23 gold. Would you like to make a trade?,18,aluminum,23,gold
I'm interested in acquiring 3 gold and am willing to offer 17 wood in exchange. Are you open to a trade?,17,wood,3,gold
I'm interested in trading 47 horses for 21 iron. What do you think?,47,horses,21,iron
I'm willing to offer 44 stones for 20 aluminum. Let me know if you're interested in making a trade.,44,stones,20,aluminum
I'd like to make a trade. I have 8 horses that I'm willing to offer for 29 wood.,8,horses,29,wood
How about a trade? I have 35 horses that I can offer in exchange for 24 stones.,35,horses,24,stones
I'm interested in acquiring 46 gold and am willing to trade 41 wheat in exchange. Would you consider the offer?,41,wheat,46,gold
I'd like to trade 16 gold for 29 wood. What do you think?,16,gold,29,wood
I have 38 horses that I'm looking to exchange for 44 coal. Would you like to make a trade?,38,horses,44,coal
How about we make a deal? I have 40 horses and I'm interested in trading them for 43 coal.,40,horses,43,coal
I'm looking to diversify my assets and would like to trade 1 coal for 45 iron. Would you consider it?,1,coal,45,iron
I'm looking to trade 38 coal for 43 stones. Would you consider the offer?,38,coal,43,stones
I'm willing to exchange 18 coal for 29 aluminum. Is that something you'd be interested in?,18,coal,29,aluminum
I'm interested in trading 28 wood for 30 iron. Would you be open to a trade?,28,wood,30,iron
I have 33 wood that I can trade for 48 wheat. Are you interested?,33,wood,48,wheat
I have 35 stones that I'm willing to trade for 45 gold. Are you open to a deal?,35,stones,45,gold
I'd like to offer 17 iron for 28 aluminum. Are you open to a trade?,17,iron,28,aluminum
I'd like to acquire 19 horses and can offer 34 aluminum in exchange. Let me know if you're interested in a trade.,34,aluminum,19,horses
I'm interested in trading 42 horses for 19 wood. Would you be open to a trade?,42,horses,19,wood
I'd like to acquire 2 horses and can offer 32 stones in exchange. Let me know if you're interested in a trade.,32,stones,2,horses
I'd like to trade 20 coal for 14 wood. What do you think?,20,coal,14,wood
I'd like to offer 35 aluminum for 15 horses. Would you be interested in making a trade?,35,aluminum,15,horses
I have 20 coal that I'm interested in trading for 10 iron. Would you consider the offer?,20,coal,10,iron
I'm looking to diversify my assets and would like to trade 12 aluminum for 29 iron. Would you consider it?,12,aluminum,29,iron
I'd like to acquire 36 iron and am willing to offer 31 aluminum in exchange. Are you interested in making a trade?,31,aluminum,36,iron
I have 26 iron that I'm willing to exchange for 19 wheat. Let me know if you're interested in a trade.,26,iron,19,wheat
I'm looking to trade 34 iron for 36 coal. Would you consider the offer?,34,iron,36,coal
I have 8 horses that I'm looking to trade for 25 iron. Let me know if you're interested.,8,horses,25,iron
How about a trade? I have 45 coal that I'm willing to exchange for 22 stones.,45,coal,22,stones
How about a trade? I have 23 stones that I can offer in exchange for 46 iron.,23,stones,46,iron
I have 4 coal and am looking to trade them for 30 iron. Would you consider the offer?,4,coal,30,iron
I'd like to acquire 25 coal and can offer 16 horses in exchange. Let me know if you're interested in a trade.,16,horses,25,coal
I'd like to acquire 27 iron and am willing to offer 24 wheat in exchange. Are you interested in making a trade?,24,wheat,27,iron
I'd like to make a trade. I have 49 iron that I'm willing to offer for 17 gold. Would you be interested?,49,iron,17,gold
I'm interested in trading 30 gold for 33 wood. Would you be open to a trade?,30,gold,33,wood
I'd like to acquire 44 horses and am willing to offer 10 iron in exchange. Are you interested in making a trade?,10,iron,44,horses
I'm willing to trade 42 wood for 4 aluminum. Would you consider the offer?,42,wood,4,aluminum
I'm looking to acquire 50 horses and am willing to offer 16 stones in exchange. Let me know if you're interested in a trade.,16,stones,50,horses
I'm willing to trade 37 wheat for 37 gold. Would you consider the offer?,37,wheat,37,gold
Would you be willing to trade 7 gold for 40 wood ? Let me know.,40,wood,7,gold
I'd like to offer 24 aluminum in exchange for 26 gold. Let me know if you're interested in making a trade.,24,aluminum,26,gold
I have 19 coal that I'm willing to trade for 34 wood. Would you consider the offer?,19,coal,34,wood
How about a trade? I have 15 iron that I'm willing to exchange for 1 wood.,15,iron,1,wood
I'm willing to exchange 45 aluminum for 12 gold. Let me know if you're interested.,45,aluminum,12,gold
I have 4 wood and am interested in trading them for 33 iron. What do you think?,4,wood,33,iron
I'd like to offer 3 iron for 10 coal. Would you be interested in making a trade?,3,iron,10,coal
I have 19 wheat that I'm willing to offer in exchange for 6 horses. Let me know if you're interested in a trade.,19,wheat,6,horses
I'm interested in acquiring 20 gold and am willing to offer 30 coal in exchange. Are you open to a trade?,30,coal,20,gold
I'm interested in acquiring 18 stones and am willing to offer 1 wheat in exchange. Are you open to a trade?,1,wheat,18,stones
I'm willing to trade 24 wheat for 26 iron. Let me know if you're interested.,24,wheat,26,iron
I have 26 coal and am looking to exchange them for 50 wood. Would you be open to a trade?,26,coal,50,wood
I'm willing to offer 26 gold for 47 wheat. Are you interested in making a trade?,26,gold,47,wheat
I have 28 coal that I can trade for 5 wood. Are you interested in making a deal?,28,coal,5,wood
I'd like to trade 16 aluminum for 22 gold. Let me know if you're interested.,16,aluminum,22,gold
I'm interested in acquiring 35 wheat and am willing to offer 26 coal in exchange. Are you open to a trade?,26,coal,35,wheat
I'm willing to trade 3 aluminum for 25 horses. Would you consider the offer?,3,aluminum,25,horses
I'm willing to trade 12 wood for 48 wheat. Let me know if you're interested.,12,wood,48,wheat
I'd like to acquire 12 gold and can offer 46 wood in exchange. Would you be interested in trading?,46,wood,12,gold
I'm interested in acquiring 38 iron and am willing to offer 8 stones in exchange. Let me know if you're interested in a trade.,8,stones,38,iron
I have 17 coal and am interested in exchanging them for 35 gold. Are you open to a trade?,17,coal,35,gold
I'm willing to exchange 20 iron for 17 stones. Is that something you'd be interested in?,20,iron,17,stones
I'd like to acquire 13 coal and am willing to trade 20 gold in exchange. Let me know if you're interested in a deal.,20,gold,13,coal
I have 32 stones and am looking to exchange them for 12 wood. Would you be open to a trade?,32,stones,12,wood
I'd like to acquire 47 horses and am willing to trade 18 stones in exchange. Let me know if you're interested in a deal.,18,stones,47,horses
I'm interested in acquiring 13 gold and am willing to offer 10 iron in exchange. Let me know if you're interested in a trade.,10,iron,13,gold
How about we make a deal? I have 36 horses and I'm interested in trading them for 21 wheat.,36,horses,21,wheat
How about we make a deal? I have 16 wheat that I can trade for 18 stones.,16,wheat,18,stones
Are you open to a trade? I have 3 wheat that I'm willing to exchange for 49 coal.,3,wheat,49,coal
I'd like to acquire 12 iron and am willing to trade 38 stones in exchange. Let me know if you're interested in a deal.,38,stones,12,iron
I have 44 gold and am looking to trade them for 13 iron. Would you consider the offer?,44,gold,13,iron
I'm looking to diversify my holdings and would like to trade 1 wheat for 37 horses. Would you be interested?,1,wheat,37,horses
I'm willing to trade 15 horses for 23 iron. Is that something you'd be interested in?,15,horses,23,iron
"If you're interested in trading, I have 47 coal that I'm willing to offer for 19 wood.",47,coal,19,wood
I have 9 iron that I'm looking to exchange for 36 stones. Are you open to a trade?,9,iron,36,stones
I'd like to acquire 13 coal and am willing to trade 20 horses in exchange. Let me know if you're interested in a deal.,20,horses,13,coal
I have 15 aluminum that I'm willing to trade for 1 coal. Are you open to a deal?,15,aluminum,1,coal
I'm interested in trading 33 wood for 8 wheat. What do you think?,33,wood,8,wheat
I'd like to acquire 34 horses and can offer 6 gold in exchange. Let me know if you're interested in a trade.,6,gold,34,horses
I'd like to make a trade. I have 4 stones that I'm willing to offer for 39 coal. Would you be interested?,4,stones,39,coal
I'm interested in acquiring 42 iron and am willing to trade 33 stones in exchange. Would you consider the offer?,33,stones,42,iron
I have 37 aluminum and am interested in exchanging them for 23 wood. Are you open to a trade?,37,aluminum,23,wood
I'm interested in acquiring 27 stones and am willing to offer 32 wood in exchange. Let me know if you're interested in a trade.,32,wood,27,stones
I'm interested in trading 20 stones for 4 wood. What do you think?,20,stones,4,wood
I'd like to acquire 7 coal and am willing to trade 28 wheat in exchange. Let me know if you're interested in a deal.,28,wheat,7,coal
I'm interested in acquiring 42 coal and am willing to trade 49 gold in exchange. Would you be open to that?,49,gold,42,coal
I have 36 wood and I'm interested in trading them for 31 aluminum. Would you consider the offer?,36,wood,31,aluminum
I have 44 coal that I'm willing to offer in exchange for 22 gold. Let me know if you're interested in a trade.,44,coal,22,gold
I have 23 horses that I'm willing to offer in exchange for 24 wood. Let me know if you're interested in a trade.,23,horses,24,wood
I have 36 wood and am interested in exchanging them for 45 horses. Are you open to a trade?,36,wood,45,horses
I'm looking to acquire 24 gold and am willing to offer 15 horses in exchange. Let me know if you're interested in a trade.,15,horses,24,gold
I have 14 aluminum that I'm looking to exchange for 33 wheat. Are you open to a trade?,14,aluminum,33,wheat
I have 14 horses and am looking to exchange them for 7 iron. Would you be open to a trade?,14,horses,7,iron
How about we make a deal? I have 30 gold that I can trade for 34 coal.,30,gold,34,coal
I have 49 iron that I'm looking to exchange for 27 horses. Would you like to make a trade?,49,iron,27,horses
I'm willing to trade 14 wheat for 5 aluminum. Would you consider the offer?,14,wheat,5,aluminum
How about a trade? I have 2 aluminum that I can offer in exchange for 40 wheat.,2,aluminum,40,wheat
I'd like to acquire 30 coal and am willing to offer 27 wood in exchange. Are you interested in making a trade?,27,wood,30,coal
I'd like to acquire 30 wheat and am willing to offer 25 aluminum in exchange. Are you open to a trade?,25,aluminum,30,wheat
I have 15 gold that I'm willing to trade for 8 horses. Would you be interested in making a deal?,15,gold,8,horses
I'm looking to acquire 3 iron and can offer 8 wood in exchange. Would you be interested in a trade?,8,wood,3,iron
I'm willing to trade 6 aluminum for 47 horses. Would you consider the offer?,6,aluminum,47,horses
I'm looking to diversify my assets and would like to trade 35 iron for 36 wood. Would you consider it?,35,iron,36,wood
I'd like to acquire 38 coal and am willing to offer 10 wheat in exchange. Would you be interested in a trade?,10,wheat,38,coal
I have 2 gold that I'm willing to offer in exchange for 19 stones. Let me know if you're interested in a trade.,2,gold,19,stones
How about we make a deal? I have 25 iron that I can trade for 6 aluminum.,25,iron,6,aluminum
I have 24 gold that I'm interested in trading for 28 wheat. Would you consider the offer?,24,gold,28,wheat
I'm interested in acquiring 44 wheat and am willing to offer 36 aluminum in exchange. Are you open to a trade?,36,aluminum,44,wheat
I'd like to trade 34 wood for 37 wheat. What do you think?,34,wood,37,wheat
I'm looking to acquire 50 iron and am willing to trade 46 horses for them. Would you be interested?,46,horses,50,iron
How about a trade? I have 31 wood that I can offer in exchange for 37 aluminum.,31,wood,37,aluminum
I'm interested in acquiring 10 aluminum and am willing to trade 13 wood in exchange. Would you consider the offer?,13,wood,10,aluminum
I'm interested in acquiring 19 horses and am willing to trade 21 gold in exchange. Would you be open to that?,21,gold,19,horses
I'm willing to trade 4 iron for 33 stones. Let me know if you're interested.,4,iron,33,stones
I'd like to acquire 3 aluminum and am willing to trade 2 coal in exchange. Let me know if you're interested in a deal.,2,coal,3,aluminum
I'm looking to trade 13 horses for 38 gold. Would you consider the offer?,13,horses,38,gold
I'd like to offer 46 iron for 20 gold. Are you open to a trade?,46,iron,20,gold
I have 27 horses and am interested in exchanging them for 12 gold. Are you open to a trade?,27,horses,12,gold
I have 10 wood that I'm willing to trade for 23 stones. Would you be interested in making a deal?,10,wood,23,stones
I'd like to acquire 11 wood and am willing to trade 4 coal in exchange. Let me know if you're interested in a deal.,4,coal,11,wood
I'm interested in acquiring 17 stones and am willing to offer 37 wood in exchange. Are you open to a trade?,37,wood,17,stones
I'm interested in making a trade. I have 1 gold that I can offer for 17 coal. Would you consider it?,1,gold,17,coal
I have 36 horses that I'm willing to exchange for 18 gold. Let me know if you're interested in a trade.,36,horses,18,gold
I have 37 stones that I'm looking to trade for 23 coal. Would you be open to that exchange?,37,stones,23,coal
I have 34 wood that I'm willing to trade for 9 horses. Would you be interested in making a deal?,34,wood,9,horses
Are you open to a trade? I have 20 wood that I'm willing to exchange for 32 stones.,20,wood,32,stones
I have 16 aluminum and am interested in trading them for 48 iron. What do you think?,16,aluminum,48,iron
I'm looking to trade 11 horses for 49 iron. Would you consider the offer?,11,horses,49,iron
I have 45 wheat and I'm interested in trading them for 1 iron. Would you consider the offer?,45,wheat,1,iron
I have 17 gold that I'm willing to offer in exchange for 46 iron. Let me know if you're interested in a trade.,17,gold,46,iron
I'd like to acquire 32 iron and am willing to offer 15 horses in exchange. Would you be interested in a trade?,15,horses,32,iron
I'm willing to offer 8 stones for 15 aluminum. Let me know if you're interested in making a trade.,8,stones,15,aluminum
I'm interested in trading 38 wheat for 4 iron. What do you think?,38,wheat,4,iron
I have 7 wheat that I'm looking to trade for 37 stones. Would you be open to that exchange?,7,wheat,37,stones
I have 22 aluminum that I'm interested in trading for 1 iron. Would you consider the offer?,22,aluminum,1,iron
I have 40 gold that I'm willing to offer in exchange for 26 stones. Let me know if you're interested in a trade.,40,gold,26,stones
I'm interested in trading 20 aluminum for 5 coal. What do you think?,20,aluminum,5,coal
How about a trade? I have 48 aluminum that I'm willing to exchange for 49 iron.,48,aluminum,49,iron
I have 3 stones that I'm willing to trade for 41 wood. Would you be interested?,3,stones,41,wood
I'm looking to diversify my assets and would like to trade 32 iron for 3 coal. What do you think?,32,iron,3,coal
I'm looking to acquire 20 coal and can offer 15 stones in exchange. Would you be interested in a trade?,15,stones,20,coal
I'm looking to acquire 6 wood and am willing to offer 46 aluminum in exchange. Would you be interested?,46,aluminum,6,wood
I have 11 coal and am looking to exchange them for 11 wheat. Would you be open to a trade?,11,coal,11,wheat
I'm looking to acquire 5 horses and am willing to trade 42 coal for them. Would you be interested?,42,coal,5,horses
I have 49 coal that I'm looking to exchange for 31 gold. Would you like to make a trade?,49,coal,31,gold
I'd like to offer 30 horses for 50 coal. Would you consider the trade?,30,horses,50,coal
I'm willing to offer 6 wood for 23 iron. Are you open to a trade?,6,wood,23,iron
I'd like to offer 34 gold in exchange for 21 iron. Let me know if you're interested in making a trade.,34,gold,21,iron
How about we make a deal? I have 11 wood that I can trade for 34 aluminum.,11,wood,34,aluminum
I'm interested in trading 23 aluminum for 7 coal. Would you be open to a trade?,23,aluminum,7,coal
I have 15 gold that I'm willing to trade for 14 wood. Would you consider the offer?,15,gold,14,wood
I'd like to acquire 11 stones and am willing to offer 6 aluminum in exchange. Are you open to a trade?,6,aluminum,11,stones
I have 12 horses that I'm willing to offer in exchange for 8 gold. Let me know if you're interested in a trade.,12,horses,8,gold
I have 50 wheat that I can trade for 21 aluminum. Are you interested in making a deal?,50,wheat,21,aluminum
I'm willing to trade 9 aluminum for 18 gold. Is that something you'd be interested in?,9,aluminum,18,gold
I'd like to make a trade. I have 47 coal that I can offer for 14 wood.,47,coal,14,wood
I'd like to offer 25 aluminum for 20 wheat. Are you open to a trade?,25,aluminum,20,wheat
I'm willing to exchange 41 coal for 49 iron. Let me know if you're interested.,41,coal,49,iron
I'm willing to trade 8 gold for 47 wheat. Would you be interested in making a deal?,8,gold,47,wheat
I'm interested in trading 29 iron for 18 wheat. Let me know if you're interested.,29,iron,18,wheat
Are you open to a trade? I have 39 wood that I'm willing to exchange for 37 iron.,39,wood,37,iron
I have 47 gold that I can trade for 36 coal. Are you interested?,47,gold,36,coal
Are you open to a trade? I have 20 wheat that I'm willing to exchange for 27 iron.,20,wheat,27,iron
I'm interested in trading 35 iron for 18 stones. Would you be open to a trade?,35,iron,18,stones
How about we make a trade? I'm willing to offer 50 horses in exchange for 4 stones.,50,horses,4,stones
I'm interested in making a trade. I have 12 iron that I can offer for 39 gold. Would you consider it?,12,iron,39,gold
I'd like to acquire 20 coal and am willing to trade 23 stones in exchange. Let me know if you're interested in a deal.,23,stones,20,coal
I'm looking to acquire 38 wood and am willing to offer 5 coal in exchange. Let me know if you're interested in a trade.,5,coal,38,wood
I'd like to make a trade. I have 38 iron that I can offer for 17 aluminum.,38,iron,17,aluminum
How about a trade? I have 26 iron that I can offer in exchange for 25 wheat.,26,iron,25,wheat
I'd like to offer 35 wheat for 25 wood. Would you consider the trade?,35,wheat,25,wood
I'm looking to diversify my holdings and would like to trade 34 horses for 47 iron. Would you be interested?,34,horses,47,iron
I'd like to acquire 19 aluminum and can offer 40 wood in exchange. Would you be interested in trading?,40,wood,19,aluminum
I'm interested in trading 46 wood for 21 wheat. What do you think?,46,wood,21,wheat
I'm willing to exchange 35 wheat for 11 wood. Let me know if you're interested in a trade.,35,wheat,11,wood
I'm looking to acquire 47 stones and am willing to offer 42 wheat in exchange. Would you be interested?,42,wheat,47,stones
Are you open to a trade? I have 44 iron that I'm willing to exchange for 48 aluminum.,44,iron,48,aluminum
I'm interested in trading 41 aluminum for 2 wood. Let me know if you'd like to make a deal.,41,aluminum,2,wood
I'd like to acquire 6 aluminum and am willing to trade 6 stones in exchange. Let me know if you're interested in a deal.,6,stones,6,aluminum
I have 35 wheat and I'm interested in trading them for 29 iron. Would you consider the offer?,35,wheat,29,iron
How about we make a deal? I have 23 stones and I'm interested in trading them for 48 coal.,23,stones,48,coal
I'm interested in acquiring 42 wheat and am willing to offer 39 wood in exchange. Let me know if you're interested in a trade.,39,wood,42,wheat
I'm looking to diversify my assets and would like to trade 30 gold for 47 coal. What do you think?,30,gold,47,coal
I'd like to trade 10 wheat for 23 aluminum. Let me know if you're interested.,10,wheat,23,aluminum
I have 16 coal and I'm interested in trading them for 39 aluminum. Would you consider the offer?,16,coal,39,aluminum
I'm willing to offer 33 wheat for 2 coal. Let me know if you're interested in making a trade.,33,wheat,2,coal
How about we make a trade? I'm willing to offer 10 aluminum in exchange for 17 iron.,10,aluminum,17,iron
I'd like to offer 10 wheat for 35 horses. Would you be interested in making a trade?,10,wheat,35,horses
I'm interested in acquiring 32 horses and am willing to offer 14 coal in exchange. Are you open to a trade?,14,coal,32,horses
I'm looking to trade 40 stones for 39 wood. Would you consider the offer?,40,stones,39,wood
I'm looking to acquire 13 gold and am willing to offer 2 coal in exchange. Let me know if you're interested in a trade.,2,coal,13,gold
I'm willing to exchange 18 wood for 25 gold. Let me know if you're interested.,18,wood,25,gold
How about we make a trade? I'm willing to offer 15 wheat in exchange for 4 gold.,15,wheat,4,gold
I'd like to offer 42 gold for 22 horses. Would you be interested in making a trade?,42,gold,22,horses
I have 20 stones that I'm willing to trade for 16 horses. Are you open to a deal?,20,stones,16,horses
I'm interested in acquiring 48 stones and am willing to offer 50 wood in exchange. Let me know if you're interested in a trade.,50,wood,48,stones
I'm interested in acquiring 13 horses and am willing to trade 40 aluminum in exchange. Would you be open to that?,40,aluminum,13,horses
I'd like to make a trade. I have 12 gold that I'm willing to offer for 24 aluminum.,12,gold,24,aluminum
I'd like to trade 36 aluminum for 35 iron. What do you think?,36,aluminum,35,iron
I'd like to acquire 45 stones and can offer 32 wood in exchange. Let me know if you're interested in a trade.,32,wood,45,stones
I'm looking to diversify my assets and would like to trade 18 stones for 7 coal. Would you consider it?,18,stones,7,coal
I have 25 wood that I'm willing to exchange for 44 aluminum. Let me know if you're interested in a trade.,25,wood,44,aluminum
Are you open to a trade? I have 46 iron that I'm willing to exchange for 10 stones.,46,iron,10,stones
I'd like to trade 35 aluminum for 24 wheat. Let me know if you're interested.,35,aluminum,24,wheat
I'm willing to exchange 34 wood for 45 iron. Let me know if you're interested in a trade.,34,wood,45,iron
I have 39 aluminum that I'm looking to trade for 7 iron. Would you be open to that exchange?,39,aluminum,7,iron
How about we make a deal? I have 25 horses that I can trade for 42 aluminum.,25,horses,42,aluminum
I have 11 gold and am interested in exchanging them for 11 aluminum. Are you open to a trade?,11,gold,11,aluminum
I have 18 stones and am interested in exchanging them for 21 aluminum. Are you open to a trade?,18,stones,21,aluminum
I'd like to trade 14 horses for 46 stones. What do you think?,14,horses,46,stones
I have 8 aluminum and am interested in exchanging them for 28 gold. Are you open to a trade?,8,aluminum,28,gold
I have 23 horses that I'm looking to exchange for 34 gold. Would you like to make a trade?,23,horses,34,gold
I'm interested in acquiring 34 iron and am willing to trade 33 stones in exchange. Would you be open to that?,33,stones,34,iron
I'm looking to acquire 10 stones and am willing to offer 46 wheat in exchange. Would you be interested?,46,wheat,10,stones
I have 34 stones that I'm willing to offer in exchange for 28 aluminum. Let me know if you're interested in a trade.,34,stones,28,aluminum
I have 17 wheat that I'm looking to trade for 30 horses. Let me know if you're interested.,17,wheat,30,horses
I'm looking to acquire 40 stones and can offer 40 gold in exchange. Would you be interested in a trade?,40,gold,40,stones
I have 39 aluminum that I can trade for 46 wood. Are you interested in making a deal?,39,aluminum,46,wood
I'd like to acquire 38 horses and can offer 16 wheat in exchange. Would you be interested in trading?,16,wheat,38,horses
I'm interested in acquiring 50 gold and am willing to trade 11 wood in exchange. Would you consider the offer?,11,wood,50,gold
I'd like to make a trade. I have 42 wood that I'm willing to offer for 32 horses. Would you be interested?,42,wood,32,horses
I'd like to acquire 8 gold and can offer 39 aluminum in exchange. Let me know if you're interested in a trade.,39,aluminum,8,gold
I'm interested in trading 50 aluminum for 8 stones. What do you think?,50,aluminum,8,stones
How about we make a trade? I'm willing to offer 41 horses in exchange for 47 aluminum.,41,horses,47,aluminum
I'm interested in acquiring 36 stones. I have 23 iron that I can offer in exchange. Would you consider the trade?,23,iron,36,stones
"If you're interested in trading, I have 5 wood that I'm willing to offer for 31 wheat.",5,wood,31,wheat
I have 30 horses that I'm interested in trading for 33 wood. Would you consider the offer?,30,horses,33,wood
I have 22 horses that I'm willing to offer in exchange for 10 aluminum. Let me know if you're interested in a trade.,22,horses,10,aluminum
How about a trade? I'll give you 38 aluminum in exchange for 38 stones.,38,aluminum,38,stones
I'm interested in trading 50 coal for 25 stones. Would you be open to a trade?,50,coal,25,stones
I'm willing to trade 10 wheat for 41 iron. Is that something you'd be interested in?,10,wheat,41,iron
I'm interested in trading 8 coal for 38 stones. What do you think?,8,coal,38,stones
I'm looking to trade 43 horses for 23 coal. Would you consider the offer?,43,horses,23,coal
I have 15 gold that I'm willing to exchange for 48 stones. Let me know if you're interested in a trade.,15,gold,48,stones
I have 17 wheat and am looking to exchange them for 21 aluminum. Would you be open to a trade?,17,wheat,21,aluminum
I'd like to acquire 39 iron and am willing to trade 13 coal in exchange. Let me know if you're interested in a deal.,13,coal,39,iron
I'm looking to acquire 45 aluminum and can offer 9 stones in exchange. Would you be interested in a trade?,9,stones,45,aluminum
How about a trade? I have 44 horses that I can offer in exchange for 7 gold.,44,horses,7,gold
I'm willing to trade 32 iron for 43 aluminum. Let me know if you're interested.,32,iron,43,aluminum
I'd like to acquire 24 coal and am willing to offer 13 stones in exchange. Are you interested in making a trade?,13,stones,24,coal
I'm looking to acquire 47 coal and am willing to offer 48 horses in exchange. Would you be interested?,48,horses,47,coal
I'm interested in trading 4 horses for 14 wheat. What do you think?,4,horses,14,wheat
I'm willing to trade 32 coal for 41 gold. Let me know if you're interested.,32,coal,41,gold
I'm looking to trade 23 coal for 26 wood. Would you consider the offer?,23,coal,26,wood
How about we make a trade? I'm willing to offer 33 wheat in exchange for 36 gold.,33,wheat,36,gold
I have 49 wood that I'm willing to trade for 39 iron. Would you be interested?,49,wood,39,iron
I'm interested in trading 41 horses for 36 gold. Would you be open to a trade?,41,horses,36,gold
I have 18 iron and I'm interested in trading them for 41 coal. Would you consider the offer?,18,iron,41,coal
I'd like to make a trade. I have 8 stones that I'm willing to offer for 33 horses.,8,stones,33,horses
I'm interested in trading 41 wood for 14 horses. Let me know if you're interested.,41,wood,14,horses
I'm interested in trading 48 iron for 15 wood. Would you be open to a trade?,48,iron,15,wood
I'm looking to diversify my assets and would like to trade 44 aluminum for 47 wood. Would you consider it?,44,aluminum,47,wood
I'm interested in trading 49 stones for 37 coal. What do you think?,49,stones,37,coal
